; Number of ROIs: 1,,,,,,,,,,,,,,,,,,,
; File Dimension: 29252 x 18552,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
; ROI name: bareenLand2_training_data,,,,,,,,,,,,,,,,,,,
; ROI rgb value: {0,0, 255},,,,,,,,,,,,,,,,,
; ROI npts: 1597,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
,,,,,,,,,,,,,,,,,,,
1334,1416,2054,0.183862,1488,1702,2120,0.109367,1405,1572,2228,0.172632,1212,1390,2843,0.343255,1191,1274,1805,0.172459
1300,1378,2136,0.215709,1488,1702,2120,0.109367,1398,1585,2182,0.158482,1224,1396,2828,0.339015,1198,1280,1790,0.166124
1267,1340,2218,0.246768,1488,1702,2120,0.109367,1391,1599,2136,0.143775,1233,1393,2749,0.327378,1204,1286,1775,0.159752
1343,1421,2048,0.180744,1310,1454,2451,0.255314,1413,1558,2274,0.186848,1170,1343,2888,0.365162,1184,1268,1820,0.178756
1343,1437,2040,0.173425,1488,1702,2120,0.109367,1395,1570,2223,0.172159,1218,1410,2817,0.33286,1190,1297,1771,0.154498
1312,1408,2109,0.199318,1488,1702,2120,0.109367,1399,1584,2177,0.157671,1234,1414,2809,0.330334,1201,1304,1753,0.146876
1281,1378,2178,0.224972,1488,1702,2120,0.109367,1403,1599,2132,0.142857,1244,1400,2736,0.323017,1213,1311,1735,0.139199
1348,1432,2051,0.17772,1310,1454,2451,0.255314,1391,1556,2268,0.186192,1175,1354,2859,0.357228,1179,1290,1790,0.162338
1353,1443,2055,0.174957,1310,1454,2451,0.255314,1368,1553,2262,0.185845,1176,1349,2860,0.358993,1172,1288,1774,0.15872
1352,1458,2027,0.163271,1488,1702,2120,0.109367,1384,1568,2217,0.171466,1222,1415,2798,0.32827,1185,1299,1756,0.149591
1324,1437,2082,0.183291,1488,1702,2120,0.109367,1400,1583,2172,0.156858,1242,1423,2775,0.322058,1198,1311,1738,0.140046
1295,1416,2137,0.202927,1488,1702,2120,0.109367,1415,1598,2127,0.142013,1252,1400,2749,0.325139,1210,1322,1720,0.130835
1352,1462,2022,0.160735,1440,1594,2163,0.151451,1357,1536,2217,0.181455,1205,1399,2793,0.332538,1177,1291,1750,0.150937
1326,1447,2064,0.175733,1440,1594,2163,0.151451,1382,1555,2170,0.165101,1237,1419,2744,0.31828,1190,1309,1734,0.139665
1301,1431,2106,0.19084,1440,1594,2163,0.151451,1407,1574,2123,0.148499,1250,1408,2744,0.321773,1203,1327,1717,0.128121
1349,1440,2062,0.177613,1278,1324,2433,0.295182,1331,1518,2264,0.19725,1149,1322,2881,0.370926,1165,1274,1767,0.162118
1327,1411,2076,0.190708,1278,1324,2433,0.295182,1265,1416,2279,0.233559,1102,1274,2854,0.382752,1157,1259,1759,0.165673
1335,1435,2034,0.172672,1440,1594,2163,0.151451,1296,1445,2225,0.212534,1175,1361,2772,0.341399,1170,1283,1744,0.152296
1311,1418,2063,0.185292,1440,1594,2163,0.151451,1326,1473,2171,0.191548,1224,1405,2728,0.320106,1183,1307,1730,0.139282
1288,1401,2093,0.198054,1440,1594,2163,0.151451,1356,1501,2117,0.17026,1241,1420,2722,0.314341,1196,1331,1715,0.126067
1317,1409,2046,0.18437,1440,1594,2163,0.151451,1235,1353,2233,0.245399,1144,1313,2771,0.357003,1151,1261,1750,0.162405
1297,1389,2063,0.195249,1440,1594,2163,0.151451,1270,1391,2172,0.219197,1196,1375,2734,0.330737,1166,1290,1735,0.147107
1276,1370,2079,0.205567,1440,1594,2163,0.151451,1305,1428,2112,0.19322,1217,1404,2712,0.317784,1180,1318,1719,0.132038
1305,1381,2090,0.204264,1278,1324,2433,0.295182,1200,1315,2294,0.271266,1064,1219,2824,0.396982,1137,1232,1766,0.178119
1280,1121,3093,0.467964,1256,1178,2850,0.415094,1030,916,2626,0.482778,1414,1529,2844,0.300709,1184,1297,1712,0.13792
1284,1158,3037,0.447914,1256,1178,2850,0.415094,988,885,2597,0.491671,1375,1491,2820,0.308281,1149,1261,1684,0.143633
1305,1211,3061,0.433052,1172,1024,3030,0.49482,871,805,2701,0.540787,1227,1331,2904,0.371429,1089,1148,1737,0.204159
1301,1167,3098,0.452755,1172,1024,3030,0.49482,929,852,2689,0.51878,1324,1462,2845,0.321105,1135,1214,1732,0.175832
1296,1123,3136,0.472646,1172,1024,3030,0.49482,987,899,2677,0.497204,1388,1530,2779,0.289858,1181,1279,1727,0.149035
1292,1080,3173,0.492123,1172,1024,3030,0.49482,1029,934,2691,0.48469,1418,1558,2811,0.286793,1213,1310,1743,0.141828
1273,1127,3177,0.476301,1172,1024,3030,0.49482,911,823,2730,0.53673,1306,1470,2834,0.316914,1167,1237,1796,0.184306
1268,1077,3208,0.497316,1172,1024,3030,0.49482,960,861,2715,0.518456,1355,1523,2750,0.287152,1213,1297,1770,0.154222
1262,1027,3239,0.518519,1172,1024,3030,0.49482,994,889,2725,0.508024,1373,1532,2736,0.282099,1241,1323,1775,0.145901
1278,1177,3146,0.455471,1172,1024,3030,0.49482,862,784,2744,0.555556,1227,1347,2907,0.366714,1120,1176,1821,0.215215
1895,1978,2834,0.177889,1938,2048,2830,0.160312,1997,2009,2846,0.1724,1285,1383,2832,0.343772,1744,1869,2506,0.1456
1904,1996,2831,0.172985,1938,2048,2830,0.160312,2004,2037,2847,0.165848,1307,1389,2831,0.341706,1754,1886,2545,0.148725
1987,2085,2835,0.152439,1852,1950,2954,0.204731,1965,2060,2885,0.166835,1360,1484,2903,0.323456,1689,1853,2571,0.162297
1986,2109,2819,0.144075,1852,1950,2954,0.204731,1982,2101,2889,0.157916,1346,1464,2861,0.323006,1715,1884,2594,0.158553
1980,2114,2807,0.140825,1980,2096,2770,0.138512,2002,2109,2881,0.154709,1356,1448,2838,0.324312,1740,1902,2593,0.153726
1967,2082,2803,0.147595,1980,2096,2770,0.138512,2025,2100,2866,0.154249,1364,1443,2831,0.324754,1764,1914,2582,0.148577
1953,2050,2798,0.15429,1980,2096,2770,0.138512,2047,2091,2852,0.153955,1345,1450,2813,0.319728,1787,1926,2570,0.143238
1939,2017,2794,0.161505,1980,2096,2770,0.138512,2037,2059,2845,0.160277,1315,1433,2805,0.323738,1771,1899,2543,0.14498
1878,1994,2787,0.165865,1868,2014,2856,0.172895,1856,1931,2858,0.193569,1362,1506,2837,0.30647,1656,1820,2499,0.157212
1929,2034,2809,0.160025,1868,2014,2856,0.172895,1896,1977,2862,0.182889,1378,1542,2820,0.292985,1694,1867,2528,0.150398
1981,2075,2831,0.154097,1868,2014,2856,0.172895,1937,2022,2866,0.172668,1391,1591,2845,0.282687,1732,1915,2557,0.14356
1998,2099,2831,0.148479,1852,1950,2954,0.204731,1956,2055,2875,0.166329,1403,1617,2906,0.284988,1751,1934,2573,0.141779
1997,2115,2821,0.143031,1852,1950,2954,0.204731,1974,2087,2884,0.16033,1394,1595,2938,0.296272,1770,1952,2588,0.140088
1996,2131,2811,0.137596,1852,1950,2954,0.204731,1993,2120,2893,0.154199,1383,1551,2885,0.300721,1790,1971,2603,0.138172
1989,2127,2803,0.13712,1980,2096,2770,0.138512,2008,2125,2884,0.151527,1391,1515,2836,0.303608,1802,1974,2605,0.137803
1970,2087,2799,0.145722,1980,2096,2770,0.138512,2022,2117,2867,0.150482,1392,1494,2829,0.308813,1811,1970,2600,0.137856
1950,2046,2795,0.15472,1980,2096,2770,0.138512,2035,2108,2849,0.149486,1364,1480,2799,0.30825,1820,1965,2595,0.138158
1930,2005,2791,0.163887,1980,2096,2770,0.138512,2024,2079,2840,0.154706,1333,1450,2757,0.310673,1798,1929,2579,0.144188
1631,1762,2743,0.217758,1706,1750,2805,0.231614,1790,1898,2820,0.195422,1356,1485,2909,0.324078,1558,1717,2391,0.16407
1649,1775,2763,0.217717,1714,1890,2867,0.205382,1791,1905,2833,0.195863,1375,1503,2869,0.312443,1584,1734,2433,0.167747
1823,1953,2765,0.172107,1878,1960,2854,0.185708,1876,1954,2817,0.180885,1333,1486,2861,0.31631,1690,1844,2531,0.157029
1873,2018,2734,0.150673,1878,1960,2854,0.185708,1901,1973,2811,0.175167,1369,1543,2893,0.304328,1711,1875,2535,0.14966
1913,2053,2758,0.146539,1868,2014,2856,0.172895,1914,2004,2826,0.170186,1391,1573,2895,0.295882,1741,1918,2549,0.141258
1954,2087,2782,0.14274,1868,2014,2856,0.172895,1928,2035,2841,0.165299,1415,1604,2875,0.283769,1771,1960,2564,0.13351
1994,2122,2806,0.138799,1868,2014,2856,0.172895,1942,2066,2856,0.160504,1425,1644,2861,0.270144,1801,2003,2578,0.125518
2008,2138,2811,0.135987,1852,1950,2954,0.204731,1963,2090,2870,0.157258,1429,1673,2883,0.265584,1815,2012,2589,0.125408
2007,2145,2807,0.133683,1852,1950,2954,0.204731,1984,2115,2883,0.153661,1425,1661,2918,0.274514,1828,2021,2600,0.125298
2007,2152,2803,0.131382,1852,1950,2954,0.204731,2005,2139,2897,0.150516,1415,1613,2901,0.285335,1841,2029,2611,0.125431
1998,2141,2798,0.133023,1980,2096,2770,0.138512,2015,2142,2888,0.14831,1417,1565,2858,0.292336,1845,2021,2614,0.12794
1973,2091,2795,0.144085,1980,2096,2770,0.138512,2019,2133,2867,0.1468,1414,1536,2848,0.29927,1843,2005,2612,0.131471
1947,2042,2791,0.154976,1980,2096,2770,0.138512,2024,2124,2846,0.145272,1382,1504,2819,0.304187,1842,1988,2610,0.135276
1922,1992,2787,0.166353,1980,2096,2770,0.138512,2011,2100,2834,0.148764,1340,1454,2751,0.308442,1816,1947,2602,0.143988
1825,1982,2800,0.171058,2020,2294,2855,0.108953,1914,1992,2874,0.181258,1376,1564,2968,0.309797,1601,1794,2377,0.139775
1827,1974,2793,0.171806,2020,2294,2855,0.108953,1958,2060,2879,0.165823,1398,1589,2936,0.29768,1637,1829,2429,0.140911
1829,1966,2786,0.172559,2020,2294,2855,0.108953,2002,2128,2886,0.151177,1420,1602,2933,0.293495,1673,1864,2481,0.142002
1824,1965,2780,0.17176,2054,2194,2783,0.118344,1975,2123,2872,0.14995,1429,1599,2941,0.295595,1686,1860,2495,0.145809
1920,2084,2702,0.129127,1936,2068,2744,0.140482,1985,2059,2767,0.146705,1387,1574,2922,0.299822,1747,1913,2549,0.142537
1949,2112,2728,0.127273,2000,2090,2774,0.140625,1973,2076,2793,0.147258,1410,1623,2914,0.284549,1769,1948,2559,0.135567
1978,2140,2754,0.12546,2000,2090,2774,0.140625,1960,2093,2819,0.147801,1429,1655,2913,0.275394,1791,1984,2568,0.128295
2008,2168,2781,0.123863,2000,2090,2774,0.140625,1948,2110,2846,0.148507,1440,1657,2858,0.266002,1813,2019,2578,0.121601
2018,2177,2791,0.123591,2022,2052,2866,0.165514,1970,2126,2864,0.147896,1446,1662,2841,0.261825,1824,2024,2590,0.12267
2018,2176,2793,0.12417,2022,2052,2866,0.165514,1993,2142,2883,0.147463,1447,1663,2892,0.269813,1836,2028,2603,0.124163
2018,2174,2794,0.124799,2022,2052,2866,0.165514,2016,2158,2901,0.146867,1439,1639,2939,0.283967,1848,2033,2615,0.125215
2007,2154,2794,0.129345,1970,2142,2818,0.13629,2021,2158,2891,0.145177,1436,1606,2912,0.289066,1849,2021,2615,0.128128
1976,2096,2791,0.142214,1970,2142,2818,0.13629,2017,2150,2868,0.143085,1433,1579,2873,0.290656,1845,2000,2610,0.132321
1945,2038,2787,0.155233,1970,2142,2818,0.13629,2012,2141,2843,0.140851,1404,1536,2842,0.29831,1841,1979,2605,0.136562
1914,1980,2784,0.168766,1970,2142,2818,0.13629,1997,2120,2828,0.143088,1349,1463,2782,0.310719,1817,1941,2595,0.14418
1812,2012,2808,0.165145,1956,2204,2840,0.12609,1854,1961,2844,0.183767,1423,1620,2980,0.295652,1684,1870,2437,0.131646
1857,2063,2824,0.155719,1956,2204,2840,0.12609,1903,2014,2839,0.169998,1416,1643,2979,0.289052,1706,1915,2451,0.122767
1858,2048,2800,0.155116,2020,2294,2855,0.108953,1934,2065,2843,0.158517,1410,1647,2977,0.28763,1733,1947,2491,0.122578
1859,2032,2775,0.154566,2020,2294,2855,0.108953,1965,2116,2848,0.147462,1430,1652,2969,0.285003,1761,1980,2531,0.122146
1859,2017,2750,0.153765,2020,2294,2855,0.108953,1997,2167,2852,0.136481,1462,1657,2971,0.283924,1788,2012,2571,0.121973
1843,1994,2738,0.157227,2054,2194,2783,0.118344,1956,2133,2833,0.140959,1465,1651,3017,0.292631,1787,1987,2557,0.12544
1895,2042,2693,0.137487,1936,2068,2744,0.140482,1892,1980,2758,0.164204,1377,1569,2895,0.297043,1783,1951,2562,0.135387
1926,2076,2724,0.135,2000,2090,2774,0.140625,1897,2005,2782,0.162315,1402,1624,2899,0.281893,1797,1979,2568,0.129536
1958,2111,2755,0.132347,2000,2090,2774,0.140625,1902,2030,2806,0.160463,1424,1661,2903,0.27213,1810,2007,2573,0.123581
1989,2145,2785,0.129817,2000,2090,2774,0.140625,1907,2055,2829,0.158477,1442,1654,2839,0.263744,1824,2035,2579,0.117902
2004,2159,2800,0.12926,2022,2052,2866,0.165514,1938,2082,2848,0.155375,1455,1647,2853,0.268,1834,2036,2592,0.120138
2012,2162,2807,0.129805,2022,2052,2866,0.165514,1969,2110,2866,0.151929,1460,1658,2923,0.276141,1844,2036,2605,0.122603
2019,2166,2814,0.13012,2022,2052,2866,0.165514,2000,2136,2884,0.149004,1453,1660,2971,0.283092,1854,2037,2618,0.124812
2014,2151,2814,0.133535,1970,2142,2818,0.13629,2013,2146,2881,0.14621,1443,1642,2944,0.283908,1853,2020,2617,0.128747
1985,2101,2803,0.143148,1970,2142,2818,0.13629,2017,2147,2867,0.143598,1434,1615,2889,0.28286,1847,1995,2609,0.133362
1955,2051,2792,0.153004,1970,2142,2818,0.13629,2021,2148,2853,0.140972,1409,1556,2850,0.29369,1840,1970,2600,0.137856
1926,2001,2781,0.163112,1970,2142,2818,0.13629,2016,2137,2843,0.141767,1359,1469,2798,0.31146,1818,1936,2589,0.144309
1833,2043,2793,0.155087,1956,2204,2840,0.12609,1848,1967,2862,0.185339,1434,1638,2997,0.293204,1763,1905,2592,0.152769
1853,2074,2809,0.150522,1956,2204,2840,0.12609,1878,2014,2843,0.170681,1457,1664,2978,0.283068,1793,1964,2584,0.136324
1872,2106,2825,0.145812,1956,2204,2840,0.12609,1909,2062,2823,0.155783,1457,1686,2959,0.274058,1822,2022,2574,0.120104
1891,2137,2841,0.141422,1956,2204,2840,0.12609,1935,2105,2811,0.143613,1447,1698,2971,0.272649,1848,2071,2578,0.109056
1890,2114,2799,0.139426,2020,2294,2855,0.108953,1954,2139,2813,0.136107,1433,1696,3001,0.277837,1866,2101,2606,0.107287
1890,2091,2757,0.137376,2020,2294,2855,0.108953,1973,2173,2816,0.128884,1451,1691,3006,0.279966,1885,2130,2634,0.105793
1890,2067,2715,0.135508,2020,2294,2855,0.108953,1992,2207,2818,0.121592,1486,1689,2993,0.278513,1904,2160,2662,0.104106
1862,2022,2695,0.142675,2054,2194,2783,0.118344,1936,2143,2794,0.131861,1479,1673,3023,0.287479,1888,2113,2619,0.106932
1904,2041,2720,0.142617,2000,2090,2774,0.140625,1821,1935,2770,0.177471,1373,1590,2857,0.284911,1825,2010,2577,0.12361
1937,2082,2755,0.139136,2000,2090,2774,0.140625,1844,1968,2792,0.173109,1409,1621,2870,0.278112,1830,2030,2578,0.118924
1970,2122,2790,0.135993,2000,2090,2774,0.140625,1866,2001,2813,0.168675,1435,1632,2848,0.271429,1836,2052,2580,0.11399
1991,2141,2809,0.134949,2022,2052,2866,0.165514,1905,2039,2831,0.162628,1453,1643,2897,0.276211,1844,2048,2594,0.117622
2006,2149,2821,0.135211,2022,2052,2866,0.165514,1945,2077,2849,0.156719,1460,1667,2962,0.279758,1852,2044,2608,0.121238
2021,2157,2833,0.135471,2022,2052,2866,0.165514,1984,2115,2867,0.150943,1453,1678,2973,0.278435,1861,2041,2622,0.124598
2021,2149,2834,0.137467,1970,2142,2818,0.13629,2005,2134,2870,0.147082,1439,1660,2940,0.278261,1857,2020,2619,0.129123
1993,2107,2816,0.144018,1970,2142,2818,0.13629,2017,2144,2866,0.144112,1424,1626,2898,0.281167,1849,1991,2607,0.133971
1838,1962,2988,0.207273,1846,1932,2962,0.210462,1681,1707,3029,0.279139,1296,1522,2918,0.314414,1554,1656,2645,0.229947
1903,2089,2879,0.159018,1846,1932,2962,0.210462,1886,1969,2921,0.194683,1392,1631,2934,0.285433,1722,1857,2618,0.170056
1944,2177,2812,0.12728,2048,2314,2788,0.092905,1957,2083,2864,0.157873,1455,1695,2961,0.271907,1795,1955,2603,0.142168
1937,2188,2827,0.127418,2048,2314,2788,0.092905,1960,2123,2834,0.143434,1469,1714,2969,0.267991,1821,2002,2595,0.128997
