; Number of ROIs: 1,,,,,,,,,,,,,,,,,,,
; File Dimension: 29252 x 18552,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
; ROI name: bareenLand2_testing_data,,,,,,,,,,,,,,,,,,,
; ROI rgb value: {196,127, 0},,,,,,,,,,,,,,,,,
; ROI npts: 750,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
,,,,,,,,,,,,,,,,,,,
2114,2241,2797,0.110361,2220,2362,2889,0.100362,2205,2311,2895,0.112178,1513,1736,2907,0.252208,1925,2110,2643,0.11214
2102,2209,2780,0.114452,2220,2362,2889,0.100362,2228,2333,2906,0.109372,1490,1684,2908,0.266551,1939,2114,2652,0.112883
2127,2273,2814,0.10635,2220,2362,2889,0.100362,2160,2270,2877,0.117933,1517,1742,2891,0.248003,1894,2082,2624,0.115172
2140,2305,2821,0.100663,2220,2362,2889,0.100362,2113,2237,2851,0.120676,1507,1738,2960,0.260111,1877,2067,2616,0.117233
2137,2281,2813,0.104437,2220,2362,2889,0.100362,2154,2275,2866,0.114958,1515,1757,2925,0.249466,1912,2100,2639,0.113737
2134,2258,2806,0.108215,2220,2362,2889,0.100362,2194,2314,2881,0.109143,1506,1747,2912,0.250054,1948,2133,2662,0.110323
2131,2234,2799,0.112259,2220,2362,2889,0.100362,2216,2335,2891,0.106391,1480,1701,2921,0.263955,1964,2140,2674,0.110926
2093,2196,2777,0.116831,2164,2306,2819,0.100098,2202,2319,2893,0.11013,1434,1620,2887,0.281118,1942,2095,2662,0.119193
2056,2157,2755,0.121743,2164,2306,2819,0.100098,2187,2303,2894,0.113719,1378,1518,2783,0.294118,1919,2049,2651,0.128085
2113,2283,2837,0.108203,2074,2204,2888,0.134328,2048,2164,2853,0.137333,1483,1701,2968,0.271364,1827,2013,2601,0.127438
2160,2260,2819,0.110061,2098,2200,2825,0.124378,2204,2337,2877,0.103567,1461,1664,2932,0.275892,1982,2142,2677,0.111019
2037,2210,2888,0.132993,1960,1982,2864,0.182006,1808,1874,2915,0.217373,1375,1572,2959,0.306113,1673,1810,2568,0.173138
2075,2248,2859,0.11964,1960,1982,2864,0.182006,1928,2023,2880,0.174791,1430,1646,2971,0.286983,1752,1905,2584,0.151259
2112,2285,2828,0.1062,1960,1982,2864,0.182006,2047,2172,2845,0.134144,1467,1689,2984,0.277124,1831,2001,2600,0.130189
2140,2304,2810,0.098944,2098,2200,2825,0.124378,2112,2246,2842,0.117138,1490,1719,2998,0.271147,1884,2057,2621,0.120564
2146,2289,2813,0.102705,2098,2200,2825,0.124378,2148,2282,2855,0.111544,1499,1725,2976,0.266114,1924,2094,2644,0.116083
2153,2275,2815,0.10609,2098,2200,2825,0.124378,2184,2318,2867,0.105882,1492,1705,2948,0.267139,1964,2131,2667,0.111713
2117,2213,2789,0.115154,1988,2136,2821,0.138188,2195,2324,2880,0.106841,1407,1595,2869,0.285394,1955,2103,2662,0.117314
2055,2172,2830,0.131547,1960,1982,2864,0.182006,1968,2047,2846,0.163295,1438,1645,2929,0.280717,1835,1988,2600,0.133391
2012,2127,2851,0.14544,1960,1982,2864,0.182006,1850,1905,2846,0.198064,1400,1611,2918,0.288585,1756,1892,2567,0.151379
2069,2175,2814,0.128082,2098,2200,2825,0.124378,2054,2156,2864,0.141036,1469,1663,2988,0.284885,1936,2088,2649,0.118429
2080,2196,2816,0.123703,2098,2200,2825,0.124378,2026,2119,2853,0.147627,1461,1665,2964,0.280622,1891,2047,2626,0.123903
2057,2155,2812,0.132273,2098,2200,2825,0.124378,2081,2193,2874,0.134399,1463,1633,2971,0.290617,1981,2128,2671,0.113149
1949,2006,2843,0.172613,1960,1982,2864,0.182006,1772,1786,2812,0.22314,1356,1557,2858,0.294677,1761,1880,2549,0.15105
2021,2087,2822,0.149725,2098,2200,2825,0.124378,1941,1993,2864,0.179329,1417,1594,2916,0.293126,1898,2037,2631,0.127249
1991,2061,2815,0.154635,2098,2200,2825,0.124378,1960,2031,2873,0.171697,1416,1594,2948,0.298107,1948,2082,2654,0.120777
1998,2060,2832,0.157809,1960,1982,2864,0.182006,1889,1922,2847,0.193961,1399,1585,2884,0.290669,1839,1975,2600,0.136612
944,777,3075,0.596573,1056,959,3006,0.516267,871,817,3067,0.5793,1310,1460,2930,0.334852,1135,1148,1954,0.259832
960,817,3072,0.579841,991,848,3146,0.575363,868,833,3086,0.574892,1380,1448,2972,0.344796,1071,1099,1947,0.278398
958,806,3079,0.585071,991,848,3146,0.575363,854,833,3060,0.572052,1361,1491,2946,0.327924,1109,1138,1902,0.251316
965,809,3061,0.581912,1056,959,3006,0.516267,840,833,3033,0.569064,1316,1511,2882,0.312087,1147,1177,1858,0.224382
981,841,3043,0.566941,1052,974,2888,0.495598,838,852,3004,0.558091,1290,1517,2827,0.301565,1132,1167,1790,0.210687
980,845,3058,0.567,1052,962,3066,0.522344,862,862,3034,0.557495,1349,1514,2899,0.313845,1113,1158,1830,0.2249
989,863,3045,0.558342,1052,962,3066,0.522344,886,872,3064,0.556911,1387,1484,2960,0.332133,1094,1149,1870,0.238821
998,881,3031,0.549591,1052,962,3066,0.522344,910,882,3093,0.556226,1380,1464,3004,0.344673,1075,1141,1911,0.252294
994,879,3044,0.551874,1064,1007,3021,0.5,945,882,3080,0.55477,1319,1467,2987,0.341266,1066,1143,2000,0.272669
986,872,3016,0.55144,1052,974,2888,0.495598,892,876,2982,0.545879,1234,1471,2826,0.315336,1116,1156,1722,0.196664
987,879,3035,0.550843,1052,962,3066,0.522344,908,888,3015,0.544965,1308,1508,2913,0.317801,1117,1178,1758,0.197548
997,894,3017,0.542828,1052,962,3066,0.522344,924,901,3047,0.543566,1363,1500,2952,0.326146,1117,1200,1794,0.198397
1008,909,2999,0.5348,1052,962,3066,0.522344,940,913,3080,0.5427,1371,1495,2969,0.330197,1118,1222,1830,0.199214
1009,909,3001,0.535038,1064,1007,3021,0.5,945,903,3086,0.547255,1347,1496,2974,0.330649,1098,1195,1905,0.229032
999,907,3003,0.536061,1064,1007,3021,0.5,958,912,3082,0.543315,1311,1462,2968,0.339955,1111,1218,1911,0.221477
