; Number of ROIs: 1,,,,,,,,,,,,,,,,,,,
; File Dimension: 29252 x 18552,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
; ROI name: MixVeg2021_testing_data,,,,,,,,,,,,,,,,,,,
; ROI rgb value: {0,255, 0},,,,,,,,,,,,,,,,,
; ROI npts: 797,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
,,,,,,,,,,,,,,,,,,,
724,454,3829,0.787999,745,526,3570,0.743164,685,497,3456,0.748545,755,635,3279,0.675524,801,663,2791,0.616097
733,473,3745,0.775723,745,526,3570,0.743164,693,484,3509,0.757576,757,629,3325,0.681841,802,660,2784,0.616725
722,441,3874,0.795597,745,526,3570,0.743164,682,487,3505,0.756012,752,641,3311,0.675607,809,661,2776,0.615362
740,482,3714,0.770257,745,526,3570,0.743164,693,473,3601,0.767796,753,638,3317,0.67737,812,664,2780,0.614402
752,508,3627,0.754293,765,538,3693,0.745687,702,475,3618,0.767896,756,666,3155,0.6514,812,674,2768,0.608367
731,461,3794,0.783314,745,526,3570,0.743164,688,480,3553,0.761964,753,634,3323,0.679555,810,663,2778,0.614647
750,496,3686,0.762793,765,538,3693,0.745687,695,478,3659,0.768915,757,689,3179,0.643744,822,682,2777,0.605666
730,450,3843,0.790356,745,526,3570,0.743164,683,476,3597,0.766266,752,645,3251,0.668891,819,665,2772,0.613035
717,416,3976,0.810565,741,532,3563,0.740171,676,479,3510,0.75984,746,666,3219,0.657143,815,656,2752,0.615023
765,525,3593,0.745022,765,538,3693,0.745687,704,483,3665,0.767117,766,717,3141,0.628305,823,699,2765,0.59642
781,555,3500,0.726264,765,538,3693,0.745687,714,487,3672,0.765809,779,738,3165,0.621829,823,715,2753,0.587659
721,428,3920,0.803128,745,526,3570,0.743164,679,478,3554,0.762897,749,653,3262,0.666411,817,660,2762,0.614261
739,472,3767,0.777306,745,526,3570,0.743164,687,475,3640,0.769137,753,648,3214,0.664423,821,670,2782,0.611819
715,401,4018,0.818511,733,489,3411,0.749231,675,464,3564,0.769613,748,674,3167,0.64905,804,638,2751,0.623488
719,415,3965,0.810502,727,479,3493,0.758812,677,468,3602,0.770025,750,665,3204,0.656242,805,644,2757,0.621288
728,438,3893,0.797737,727,479,3493,0.758812,678,472,3641,0.770484,752,659,3237,0.661704,806,650,2762,0.618992
738,461,3820,0.78463,727,479,3493,0.758812,680,477,3679,0.770452,754,664,3226,0.658612,808,655,2768,0.617295
748,484,3744,0.77105,765,528,3696,0.75,687,480,3700,0.770335,757,697,3220,0.644115,812,669,2758,0.609571
761,505,3661,0.757561,765,528,3696,0.75,696,483,3712,0.769726,767,722,3228,0.63443,818,687,2740,0.599066
774,527,3578,0.74324,765,528,3696,0.75,705,486,3724,0.769121,781,737,3222,0.627684,823,705,2722,0.588561
787,548,3495,0.728914,765,528,3696,0.75,712,493,3691,0.76434,788,742,3238,0.627136,824,712,2713,0.584234
818,587,3428,0.707597,797,577,3379,0.708291,717,507,3569,0.751227,790,744,3260,0.628372,813,695,2725,0.593567
717,403,4027,0.818059,727,479,3493,0.758812,678,457,3612,0.775375,754,668,3160,0.650993,794,627,2752,0.628884
726,428,3954,0.804655,727,479,3493,0.758812,680,462,3649,0.775237,751,672,3178,0.650909,794,634,2753,0.625627
734,453,3882,0.791003,727,479,3493,0.758812,681,468,3685,0.774621,752,676,3189,0.650194,794,641,2754,0.622386
744,475,3805,0.778037,765,528,3696,0.75,687,472,3703,0.773892,757,690,3196,0.644879,802,656,2738,0.613435
757,495,3721,0.76518,765,528,3696,0.75,694,477,3711,0.772206,771,716,3250,0.638931,813,676,2715,0.601298
769,514,3636,0.752289,765,528,3696,0.75,702,481,3720,0.771007,780,732,3231,0.630583,823,696,2691,0.589017
781,533,3551,0.738981,765,528,3696,0.75,709,487,3687,0.766651,784,732,3207,0.628332,826,703,2686,0.585128
713,388,4078,0.826243,733,489,3411,0.749231,677,452,3575,0.775515,756,667,3154,0.650877,793,621,2751,0.631673
714,380,4139,0.831821,733,489,3411,0.749231,695,444,3563,0.778388,757,656,3223,0.661768,793,614,2731,0.632885
711,376,4145,0.833665,733,489,3411,0.749231,680,442,3567,0.779496,764,654,3157,0.656783,783,603,2751,0.640429
715,392,4097,0.825351,727,479,3493,0.758812,682,446,3603,0.779699,755,667,3127,0.648392,782,611,2747,0.636093
723,418,4023,0.811754,727,479,3493,0.758812,684,450,3639,0.779897,744,675,3115,0.643799,782,619,2743,0.631767
777,529,3592,0.743266,765,528,3696,0.75,708,482,3651,0.766755,779,719,3212,0.63419,829,695,2658,0.585446
764,509,3683,0.757156,765,528,3696,0.75,702,474,3687,0.77217,776,722,3227,0.634338,824,686,2660,0.589958
752,489,3775,0.770638,765,528,3696,0.75,696,467,3687,0.775156,767,712,3215,0.637382,808,665,2689,0.603459
739,469,3867,0.783672,765,528,3696,0.75,690,459,3687,0.778582,755,694,3167,0.640508,792,643,2719,0.61749
730,445,3948,0.797405,727,479,3493,0.758812,685,453,3675,0.780523,745,678,3129,0.643814,781,627,2740,0.627562
711,370,4194,0.837862,733,489,3411,0.749231,694,436,3552,0.781344,755,629,3268,0.677188,784,598,2733,0.640949
709,364,4212,0.840909,733,489,3411,0.749231,683,432,3557,0.783404,759,640,3227,0.668994,773,587,2756,0.648818
